,z,om,o2,so4,h2s,fes2,dso4,dh2s,dfes2,f_o2,f_so4,f_h2s,f_fes2,fe,DB,DSO4,DH2S,DO2,phi,omega
39,19.532554257095157,704.4147679856567,-0.0,17.94212896100009,34.93945544106163,2.4271758438556295,101.29904017108606,-12.260289271263577,-9.782098599051396,1.14120797035928e-17,1.3583449103744179e-11,1.1031764678056325e-11,2.551684425687853e-12,7.303393423899785,0.0,2.7042142163038664e-10,5.684086474769012e-10,1.0758035666686878e-09,0.65,1.5e-11
40,20.033388981636058,706.913246457643,-0.0,18.03690876226226,35.1386969287365,2.514559730099708,101.03837954994714,-12.351816289536771,-9.886545829198916,1.135478987396808e-17,1.3652466466706974e-11,1.111572752236747e-11,2.536738944339505e-12,7.219432146254335,0.0,2.706336399811361e-10,5.6865836993274e-10,1.0758617712103177e-09,0.65,1.5e-11
41,20.534223706176963,702.5952559424949,-0.0,18.133806153276467,35.32302982782541,2.596547418060942,100.76008546367048,-12.444712245688805,-9.949785881553261,1.1147616138309046e-17,1.3535395366375173e-11,1.1015512652543318e-11,2.519882713831856e-12,7.1340218496944745,0.0,2.7084585833188557e-10,5.689080923885788e-10,1.0759199757519483e-09,0.65,1.5e-11
42,21.035058430717864,705.101616143298,-0.0,18.232528315441076,35.493246574606864,2.6828218474312284,100.46675647577726,-12.538866407845381,-10.047049946538792,1.1126378015268256e-17,1.3604605761212431e-11,1.1101981229250944e-11,2.5026245319614877e-12,7.051170028922818,0.0,2.710580766826351e-10,5.691578148444177e-10,1.0759781802935782e-09,0.65,1.5e-11
43,21.535893155258766,700.7821394196975,-0.0,18.332913828122845,35.650049113487185,2.7636438422030025,100.16029699421712,-12.634231565666099,-10.106384021016252,1.0978794037328647e-17,1.3487562443193893e-11,1.100390992548469e-11,2.4836525177092035e-12,6.966925425552417,0.0,2.712702950333845e-10,5.694075373002565e-10,1.0760363848352081e-09,0.65,1.5e-11
44,22.036727879799667,703.2963709327674,-0.0,18.43471780017897,35.79415168544304,2.848667607058116,99.84278130775749,-12.730704660357238,-10.19772391508727,1.0984558066077126e-17,1.3556957068511577e-11,1.1092468781605305e-11,2.464488286906272e-12,6.885324269295934,0.0,2.71482513384134e-10,5.696572597560954e-10,1.0760945893768384e-09,0.65,1.5e-11
45,22.537562604340568,698.975390067703,-0.0,18.537821589185235,35.92618220326216,2.928196181622903,99.5156518303388,-12.828244767671903,-10.253908213965852,1.08408086094955e-17,1.3439933808257361e-11,1.0996151764094984e-11,2.4437820441623767e-12,6.802373086132519,0.0,2.7169473173488353e-10,5.699069822119341e-10,1.0761527939184686e-09,0.65,1.5e-11
46,23.03839732888147,701.4974835162869,-0.0,18.64201862335021,36.04678480787872,3.011853557062573,99.18056739883893,-12.926755881340268,-10.340293325931036,1.0849070941965895e-17,1.3509505865169243e-11,1.10864378980098e-11,2.4230679671594435e-12,6.722138319291481,0.0,2.71906950085633e-10,5.70156704667773e-10,1.0762109984600985e-09,0.65,1.5e-11
47,23.53923205342237,697.1749814871133,-0.0,18.747224454775747,36.15652103967277,3.089984806704945,98.83860632131154,-13.026202804455686,-10.39389788717363,1.070894216158949e-17,1.3392496819481356e-11,1.0991535572199247e-11,2.4009612472821097e-12,6.640584461050482,0.0,2.7211916843638246e-10,5.704064271236119e-10,1.0762692030017288e-09,0.65,1.5e-11
48,24.040066777963272,699.7049282834475,-0.0,18.853263161508316,36.25597218677222,3.172182358167853,98.49109974312485,-13.12649599040552,-10.476083615615778,1.0719563216779645e-17,1.3462241043501235e-11,1.1083232632374992e-11,2.379008411126243e-12,6.561809518186207,0.0,2.7233138678713193e-10,5.706561495794506e-10,1.076327407543359e-09,0.65,1.5e-11
